Produced from wind CDAWeb CDFs (nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5 27  0  0  0   0    -7.03     1.67     2.66       nan       nan       nan       nan        nan
2024  5 27  0  1  0   0    -7.09     1.86     2.24       nan       nan       nan       nan        nan
2024  5 27  0  2  0   0    -7.21     1.11     2.28       nan       nan       nan       nan        nan
2024  5 27  0  3  0   0    -7.22     0.67     2.45       nan       nan       nan       nan        nan
2024  5 27  0  4  0   0    -7.27     0.82     2.39   -351.62     10.13     -4.06    3.8808   107726.6
2024  5 27  0  5  0   0    -7.23     0.72     2.76   -351.11      9.42     -4.78    3.9101   108375.3
2024  5 27  0  6  0   0    -7.25     0.71     2.72   -350.60      8.72     -5.50    3.9393   109026.1
2024  5 27  0  7  0   0    -7.33     0.50     2.45   -350.73      7.31     -5.06    4.3245   105056.5
2024  5 27  0  8  0   0    -7.27     0.65     2.57       nan       nan       nan       nan        nan
2024  5 27  0  9  0   0    -7.23     0.64     2.74   -350.97      4.50     -4.17    5.0951    97338.2
2024  5 27  0 10  0   0    -7.16     1.02     2.78   -349.36      5.44     -3.44    4.9926    97656.8
2024  5 27  0 11  0   0    -6.90     1.40     3.16       nan       nan       nan       nan        nan
2024  5 27  0 12  0   0    -6.92     1.27     3.14       nan       nan       nan       nan        nan
2024  5 27  0 13  0   0    -6.80     1.67     3.18       nan       nan       nan       nan        nan
2024  5 27  0 14  0   0    -7.44     0.41     1.91       nan       nan       nan       nan        nan
2024  5 27  0 15  0   0    -7.51     0.00     1.54       nan       nan       nan       nan        nan
2024  5 27  0 16  0   0    -7.50    -0.10     1.50       nan       nan       nan       nan        nan
2024  5 27  0 17  0   0    -7.49    -0.21     1.43       nan       nan       nan       nan        nan
2024  5 27  0 18  0   0    -7.49    -0.33     1.36       nan       nan       nan       nan        nan
2024  5 27  0 19  0   0    -7.49     0.08     1.43   -334.88     13.95      3.06    4.0699   100547.5
2024  5 27  0 20  0   0    -7.50     0.21     1.41   -336.56     13.51      3.09    4.1107   103919.0
2024  5 27  0 21  0   0    -7.54    -0.04     1.07       nan       nan       nan       nan        nan
2024  5 27  0 22  0   0    -7.45     0.05     1.30       nan       nan       nan       nan        nan
2024  5 27  0 23  0   0    -7.43     0.02     1.40       nan       nan       nan       nan        nan
2024  5 27  0 24  0   0    -7.50    -0.02     1.11       nan       nan       nan       nan        nan
2024  5 27  0 25  0   0    -7.52    -0.00     0.83       nan       nan       nan       nan        nan
2024  5 27  0 26  0   0    -7.53    -0.33     0.94       nan       nan       nan       nan        nan
2024  5 27  0 27  0   0    -7.54    -0.39     0.86       nan       nan       nan       nan        nan
2024  5 27  0 28  0   0    -7.57    -0.62     0.69       nan       nan       nan       nan        nan
2024  5 27  0 29  0   0    -7.60    -1.07     0.24       nan       nan       nan       nan        nan
2024  5 27  0 30  0   0    -7.55    -1.00     0.30       nan       nan       nan       nan        nan
2024  5 27  0 31  0   0    -7.48    -0.86     1.08       nan       nan       nan       nan        nan
2024  5 27  0 32  0   0    -7.32    -0.39     1.51       nan       nan       nan       nan        nan
2024  5 27  0 33  0   0    -6.74     1.14     2.73       nan       nan       nan       nan        nan
2024  5 27  0 34  0   0    -6.94     0.72     2.42       nan       nan       nan       nan        nan
2024  5 27  0 35  0   0    -7.07     0.13     2.09       nan       nan       nan       nan        nan
2024  5 27  0 36  0   0    -6.75    -0.65     1.83       nan       nan       nan       nan        nan
2024  5 27  0 37  0   0    -6.30    -1.48     1.80       nan       nan       nan       nan        nan
2024  5 27  0 38  0   0    -6.48    -0.44     1.89       nan       nan       nan       nan        nan
2024  5 27  0 39  0   0    -6.13    -0.19     1.80       nan       nan       nan       nan        nan
2024  5 27  0 40  0   0    -6.37    -0.14     2.11       nan       nan       nan       nan        nan
2024  5 27  0 41  0   0    -6.35     0.26     1.97       nan       nan       nan       nan        nan
2024  5 27  0 42  0   0    -6.26     0.67     2.01       nan       nan       nan       nan        nan
2024  5 27  0 43  0   0    -6.47     0.72     2.08   -375.10      3.54      4.00    5.0476   196807.6
2024  5 27  0 44  0   0    -6.38     0.75     1.94   -378.91      6.45      7.70    5.6456   188073.1
2024  5 27  0 45  0   0    -5.59     1.98     1.24   -382.72      9.36     11.39    6.2435   179536.9
2024  5 27  0 46  0   0    -5.25     1.16     1.57   -379.60      6.14      9.21    5.9554   160698.5
2024  5 27  0 47  0   0    -4.85     0.04     1.81       nan       nan       nan       nan        nan
2024  5 27  0 48  0   0    -4.91     0.93     1.63       nan       nan       nan       nan        nan
2024  5 27  0 49  0   0    -4.78     2.50     1.15       nan       nan       nan       nan        nan
2024  5 27  0 50  0   0    -4.76     2.68     1.12       nan       nan       nan       nan        nan
2024  5 27  0 51  0   0    -4.68     2.75     1.07       nan       nan       nan       nan        nan
2024  5 27  0 52  0   0    -4.18     2.51     0.79       nan       nan       nan       nan        nan
2024  5 27  0 53  0   0    -3.90     2.48     0.71       nan       nan       nan       nan        nan
2024  5 27  0 54  0   0    -3.93     2.32     0.89       nan       nan       nan       nan        nan
2024  5 27  0 55  0   0    -3.93     2.57     0.65       nan       nan       nan       nan        nan
2024  5 27  0 56  0   0    -3.70     2.63     0.31   -348.45    -26.14    -12.38    3.0749    29726.8
2024  5 27  0 57  0   0    -3.50     2.96     0.55   -349.27    -25.23    -11.98    3.2044    30862.6
2024  5 27  0 58  0   0    -3.34     3.19     0.49       nan       nan       nan       nan        nan
2024  5 27  0 59  0   0    -3.83     3.72    -1.11       nan       nan       nan       nan        nan
2024  5 27  1  0  0   0    -3.57     3.76    -1.82       nan       nan       nan       nan        nan
2024  5 27  1  1  0   0    -2.92     3.62    -2.33       nan       nan       nan       nan        nan
2024  5 27  1  2  0   0    -2.83     2.88    -2.72       nan       nan       nan       nan        nan
2024  5 27  1  3  0   0    -2.52     2.76    -2.18       nan       nan       nan       nan        nan
2024  5 27  1  4  0   0    -2.17     3.08    -2.13       nan       nan       nan       nan        nan
2024  5 27  1  5  0   0    -1.73     3.48    -2.04       nan       nan       nan       nan        nan
2024  5 27  1  6  0   0    -1.61     3.82    -1.50       nan       nan       nan       nan        nan
2024  5 27  1  7  0   0    -1.45     4.13    -1.46       nan       nan       nan       nan        nan
2024  5 27  1  8  0   0    -1.75     3.84    -1.82       nan       nan       nan       nan        nan
2024  5 27  1  9  0   0    -1.52     4.18    -1.42       nan       nan       nan       nan        nan
2024  5 27  1 10  0   0    -1.95     3.93    -1.31       nan       nan       nan       nan        nan
2024  5 27  1 11  0   0    -1.38     4.20    -1.02       nan       nan       nan       nan        nan
2024  5 27  1 12  0   0    -1.35     4.20    -1.14       nan       nan       nan       nan        nan
2024  5 27  1 13  0   0    -1.27     3.73    -1.67       nan       nan       nan       nan        nan
2024  5 27  1 14  0   0    -1.21     3.58    -1.32       nan       nan       nan       nan        nan
2024  5 27  1 15  0   0    -1.32     3.66    -0.51       nan       nan       nan       nan        nan
2024  5 27  1 16  0   0    -1.59     3.48     0.90       nan       nan       nan       nan        nan
2024  5 27  1 17  0   0    -1.50     3.58     0.14       nan       nan       nan       nan        nan
2024  5 27  1 18  0   0    -0.58     4.15     1.19       nan       nan       nan       nan        nan
2024  5 27  1 19  0   0    -0.84     4.47     0.89       nan       nan       nan       nan        nan
2024  5 27  1 20  0   0    -0.85     3.98     0.87       nan       nan       nan       nan        nan
2024  5 27  1 21  0   0    -0.58     3.96     0.78       nan       nan       nan       nan        nan
2024  5 27  1 22  0   0    -0.82     4.83     1.24       nan       nan       nan       nan        nan
2024  5 27  1 23  0   0    -0.24     4.31     0.94       nan       nan       nan       nan        nan
2024  5 27  1 24  0   0    -1.20     4.76     0.77       nan       nan       nan       nan        nan
2024  5 27  1 25  0   0    -2.50     4.80     1.39       nan       nan       nan       nan        nan
2024  5 27  1 26  0   0    -2.35     4.97     1.34       nan       nan       nan       nan        nan
2024  5 27  1 27  0   0     1.03     5.32     0.38       nan       nan       nan       nan        nan
2024  5 27  1 28  0   0     0.55     5.14     0.55       nan       nan       nan       nan        nan
2024  5 27  1 29  0   0    -0.10     4.80     0.30       nan       nan       nan       nan        nan
2024  5 27  1 30  0   0    -1.49     5.09     0.25       nan       nan       nan       nan        nan
2024  5 27  1 31  0   0    -2.55     5.88    -0.05       nan       nan       nan       nan        nan
2024  5 27  1 32  0   0    -2.28     5.81    -0.12       nan       nan       nan       nan        nan
2024  5 27  1 33  0   0    -1.87     6.08     0.37       nan       nan       nan       nan        nan
2024  5 27  1 34  0   0    -1.35     6.15     0.27       nan       nan       nan       nan        nan
2024  5 27  1 35  0   0    -1.59     6.16     0.05       nan       nan       nan       nan        nan
2024  5 27  1 36  0   0    -1.95     6.00    -0.07       nan       nan       nan       nan        nan
2024  5 27  1 37  0   0    -1.96     6.06     0.05       nan       nan       nan       nan        nan
2024  5 27  1 38  0   0    -2.06     6.11    -0.70       nan       nan       nan       nan        nan
2024  5 27  1 39  0   0    -1.73     5.54     0.47       nan       nan       nan       nan        nan
2024  5 27  1 40  0   0    -2.46     6.53    -1.12       nan       nan       nan       nan        nan
2024  5 27  1 41  0   0    -2.58     6.84    -1.22       nan       nan       nan       nan        nan
2024  5 27  1 42  0   0    -1.55     6.50    -1.24       nan       nan       nan       nan        nan
2024  5 27  1 43  0   0    -1.40     6.57    -1.11       nan       nan       nan       nan        nan
2024  5 27  1 44  0   0    -2.22     6.74    -1.00       nan       nan       nan       nan        nan
2024  5 27  1 45  0   0    -2.19     7.18    -1.10       nan       nan       nan       nan        nan
2024  5 27  1 46  0   0    -2.22     7.52    -1.16       nan       nan       nan       nan        nan
2024  5 27  1 47  0   0    -2.55     7.68    -0.50       nan       nan       nan       nan        nan
2024  5 27  1 48  0   0    -2.49     5.50    -3.65       nan       nan       nan       nan        nan
2024  5 27  1 49  0   0    -2.55     4.46    -4.64       nan       nan       nan       nan        nan
2024  5 27  1 50  0   0    -2.35     4.94    -4.71       nan       nan       nan       nan        nan
2024  5 27  1 51  0   0    -2.07     4.69    -4.67       nan       nan       nan       nan        nan
2024  5 27  1 52  0   0    -1.61     3.60    -5.70       nan       nan       nan       nan        nan
2024  5 27  1 53  0   0    -1.52     3.39    -5.45       nan       nan       nan       nan        nan
2024  5 27  1 54  0   0    -1.43     2.87    -4.17       nan       nan       nan       nan        nan
2024  5 27  1 55  0   0    -1.47     3.44    -3.06       nan       nan       nan       nan        nan
2024  5 27  1 56  0   0    -1.32     3.20    -1.41       nan       nan       nan       nan        nan
2024  5 27  1 57  0   0    -1.08     3.00    -1.27       nan       nan       nan       nan        nan
2024  5 27  1 58  0   0    -1.27     2.50    -2.10       nan       nan       nan       nan        nan
2024  5 27  1 59  0   0    -0.95     2.64    -0.98       nan       nan       nan       nan        nan
2024  5 27  2  0  0   0    -0.67     3.25    -0.80       nan       nan       nan       nan        nan
2024  5 27  2  1  0   0    -0.58     3.47    -1.39       nan       nan       nan       nan        nan
2024  5 27  2  2  0   0    -0.70     3.68    -2.12       nan       nan       nan       nan        nan
2024  5 27  2  3  0   0    -0.92     2.51    -2.54   -403.42     35.41     12.35   11.7465   152914.1
2024  5 27  2  4  0   0    -1.17     2.71    -2.72   -404.11     31.33      9.45   11.5036   144780.3
2024  5 27  2  5  0   0    -1.48     3.02    -2.28   -404.80     27.25      6.56   11.2608   136868.9
2024  5 27  2  6  0   0    -1.25     3.05    -2.52   -404.68     27.22      6.34   11.2236   137438.2
2024  5 27  2  7  0   0    -1.47     2.68    -2.76       nan       nan       nan       nan        nan
2024  5 27  2  8  0   0    -1.38     2.85    -2.47       nan       nan       nan       nan        nan
2024  5 27  2  9  0   0    -1.14     3.27    -2.33       nan       nan       nan       nan        nan
2024  5 27  2 10  0   0    -1.05     3.19    -1.93       nan       nan       nan       nan        nan
2024  5 27  2 11  0   0    -1.40     3.19    -2.05       nan       nan       nan       nan        nan
2024  5 27  2 12  0   0    -1.30     2.60    -1.62       nan       nan       nan       nan        nan
2024  5 27  2 13  0   0    -1.00     2.53    -1.80       nan       nan       nan       nan        nan
2024  5 27  2 14  0   0    -1.22     2.17    -2.34       nan       nan       nan       nan        nan
2024  5 27  2 15  0   0    -1.63     2.35    -1.78       nan       nan       nan       nan        nan
2024  5 27  2 16  0   0    -1.85     2.32    -1.16       nan       nan       nan       nan        nan
2024  5 27  2 17  0   0    -2.59     2.21     0.30       nan       nan       nan       nan        nan
2024  5 27  2 18  0   0    -2.91     2.39    -0.13       nan       nan       nan       nan        nan
2024  5 27  2 19  0   0    -3.25     2.34     0.19       nan       nan       nan       nan        nan
2024  5 27  2 20  0   0    -2.94     2.14    -0.43       nan       nan       nan       nan        nan
2024  5 27  2 21  0   0    -2.60     2.10    -0.71       nan       nan       nan       nan        nan
2024  5 27  2 22  0   0    -3.38     2.38    -0.25       nan       nan       nan       nan        nan
2024  5 27  2 23  0   0    -3.81     2.50     0.81       nan       nan       nan       nan        nan
2024  5 27  2 24  0   0    -3.55     2.36     1.23       nan       nan       nan       nan        nan
2024  5 27  2 25  0   0    -3.61     2.54     0.68       nan       nan       nan       nan        nan
2024  5 27  2 26  0   0    -3.63     2.39     0.60       nan       nan       nan       nan        nan
2024  5 27  2 27  0   0    -4.11     1.92     1.50       nan       nan       nan       nan        nan
2024  5 27  2 28  0   0    -4.13     1.40     1.94       nan       nan       nan       nan        nan
2024  5 27  2 29  0   0    -3.88     0.86     2.27       nan       nan       nan       nan        nan
2024  5 27  2 30  0   0    -3.87     1.26     1.68       nan       nan       nan       nan        nan
2024  5 27  2 31  0   0    -4.01     1.71     1.33       nan       nan       nan       nan        nan
2024  5 27  2 32  0   0    -3.97     1.60     1.51       nan       nan       nan       nan        nan
2024  5 27  2 33  0   0    -4.28     1.55     1.81       nan       nan       nan       nan        nan
2024  5 27  2 34  0   0    -3.82     1.29     1.73       nan       nan       nan       nan        nan
2024  5 27  2 35  0   0    -3.30     1.12     1.49       nan       nan       nan       nan        nan
2024  5 27  2 36  0   0    -3.53     1.14     1.75       nan       nan       nan       nan        nan
2024  5 27  2 37  0   0    -3.50     0.96     2.13   -400.92     26.37     -0.34   10.0721   155673.8
