Combined L1 Data for 2024-05-11 (Despiked, Unpropagated) (GSM nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T nSat satUsed
#START
2024  5 11  0  0  0   0    -4.23    23.84   -14.93   -742.09      5.35    -12.08   22.1079   361514.6  2  1
2024  5 11  0  1  0   0    -9.35    20.61   -37.03   -734.02     15.48     11.20   20.5236   419771.0  2  1
2024  5 11  0  2  0   0    -6.89    23.79   -22.58   -747.14     22.51    -13.56   21.4046   450849.2  2  1
2024  5 11  0  3  0   0   -13.50    24.23   -36.73   -727.14     10.60      9.78   20.2353   346807.1  2  1
2024  5 11  0  4  0   0   -14.29    24.10   -42.48   -749.40     20.54     11.71   26.3059   317822.0  3  0
2024  5 11  0  5  0   0   -13.41    23.13   -43.45   -748.80     23.56     16.64   25.6200   326609.0  3  0
2024  5 11  0  6  0   0   -13.67    21.57   -43.90   -748.00     26.58     12.60   24.4200   300588.3  3  0
2024  5 11  0  7  0   0   -13.75    21.89   -43.93   -746.70     34.49     10.60   23.9500   311853.1  3  0
2024  5 11  0  8  0   0   -10.50    21.44   -40.16   -755.40     42.72     11.23   28.2100   309237.8  3  0
2024  5 11  0  9  0   0   -15.06    22.71   -38.78   -753.30     50.96      3.00   24.8600   359041.7  3  0
2024  5 11  0 10  0   0   -17.14    15.09   -41.36   -753.40     59.32     -0.70   27.1000   408845.5  3  0
2024  5 11  0 11  0   0   -14.64    12.44   -42.42   -753.40     58.00    -12.30   29.7900   441819.6  3  0
2024  5 11  0 12  0   0   -18.28    10.36   -41.71   -763.30     72.00     -6.60   30.9800   348780.3  3  0
2024  5 11  0 13  0   0   -15.84    15.08   -39.12   -747.64     55.75      3.90   32.1800   371216.5  3  0
2024  5 11  0 14  0   0   -11.51    26.67   -34.79   -733.18     40.55      4.29   27.8000   303698.2  3  0
2024  5 11  0 15  0   0    -9.62    20.20   -40.42   -746.18     43.35     -1.51   33.3900   345814.1  3  0
2024  5 11  0 16  0   0   -11.17    14.61   -39.41   -745.43     56.04      0.49   30.7900   387930.1  3  0
2024  5 11  0 17  0   0   -23.62    10.22   -40.39   -754.68     68.74      2.48   30.9100   298407.8  3  0
2024  5 11  0 18  0   0   -24.38    23.97   -37.61   -750.80     64.29     -2.00   29.3900   339807.7  3  0
2024  5 11  0 19  0   0   -16.86    17.26   -41.05   -746.40     59.84      3.15   30.3800   290135.9  3  0
2024  5 11  0 20  0   0    -6.82    21.60   -39.28   -740.70     51.17      7.10   28.2000   377176.7  3  0
