Propagated L1 Data for 2024-05-25 (Target: 32 Re) (GSM nT, km/s, cm^-3, K)
year mo dy hr mn sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5 25  0 52  0   0    -1.19    -8.44    -0.67   -394.78     18.74      1.44    7.0800    83018.7
2024  5 25  0 53  0   0    -1.85    -8.33     0.18   -392.42     25.16     -6.30    6.0100    73673.9
2024  5 25  0 56  0   0    -1.99    -8.22     0.61   -381.75     19.99    -25.36    6.6000    67439.8
2024  5 25  0 57  0   0    -2.35    -8.64    -0.57   -402.48     25.14     -4.84    4.9600    88330.4
2024  5 25  0 58  0   0    -2.05    -8.74     0.08   -400.36     25.71      3.77    4.6700    78830.0
2024  5 25  1  0  0   0    -2.18    -8.90     0.01   -394.44     32.62    -15.19    4.1581    76229.7
2024  5 25  1  1  0   0    -2.37    -9.04    -0.48   -391.50     33.52    -15.78    3.9667    70764.6
2024  5 25  1  3  0   0    -1.96    -8.89    -0.13   -388.56     34.41    -16.38    3.7752    65299.5
2024  5 25  1  4  0   0    -2.34    -8.76     0.25   -388.80     24.55     -9.74    4.1976    70692.5
2024  5 25  1  5  0   0    -2.79    -8.81     0.10   -393.22     26.56     -7.49    3.9163    72685.2
2024  5 25  1  8  0   0    -3.04    -8.51    -1.04   -383.27     22.02     -0.94    3.9398    69950.4
2024  5 25  1  9  0   0    -1.51    -8.89    -0.14   -394.05     30.12     -6.22    4.1352    73605.3
2024  5 25  1 10  0   0    -2.05    -8.78    -0.37   -397.61     33.39    -11.12    3.8855    70826.9
2024  5 25  1 11  0   0    -1.46    -8.88     0.00   -399.25     25.63     -2.82    3.9204    77598.9
2024  5 25  1 13  0   0    -1.42    -8.71    -1.02   -402.74     30.16     -6.07    4.3419    77530.3
2024  5 25  1 14  0   0    -1.13    -9.03     1.78   -399.37     28.18    -14.59    4.0984    70505.0
2024  5 25  1 16  0   0    -0.90    -9.13     1.26   -396.68     27.99     -7.93    3.8821    78742.5
2024  5 25  1 17  0   0    -0.54    -9.23     1.15   -397.00     30.40    -12.51    4.0112    75619.2
2024  5 25  1 18  0   0    -1.20    -9.20    -0.06   -397.32     32.81    -17.09    4.1402    72496.0
2024  5 25  1 19  0   0    -2.32    -9.02    -0.29   -393.53     29.80     -9.31    5.3700    74422.4
2024  5 25  1 21  0   0    -1.93    -9.02     0.15   -394.26     26.35     -8.91    5.9300    72624.8
2024  5 25  1 22  0   0    -1.62    -9.06     0.31   -395.52     29.20    -10.94    7.5200    73909.4
2024  5 25  1 23  0   0    -1.55    -9.02    -0.42   -405.56     25.23      2.08    6.2700    91374.2
2024  5 25  1 25  0   0    -1.64    -8.98    -0.61   -394.71     25.46     -3.40    5.7400    83254.1
2024  5 25  1 26  0   0    -1.35    -8.90    -0.83   -397.60     29.57     -8.55    7.0500    81230.3
2024  5 25  1 27  0   0    -0.80    -9.03    -0.50   -396.82     26.75     -0.49    7.2800    85771.9
2024  5 25  1 28  0   0    -0.44    -8.93    -1.28   -396.05     23.93      7.58    6.7400    90313.5
2024  5 25  1 29  0   0    -0.75    -8.89    -1.35   -394.46     24.02      8.89    6.8600    81880.5
2024  5 25  1 30  0   0    -0.73    -8.79    -1.61   -394.24     26.63      8.51    6.8200    96443.3
2024  5 25  1 31  0   0    -0.32    -8.71    -1.34   -392.35     31.27      0.54    6.7200    86417.1
2024  5 25  1 32  0   0    -1.12    -8.71    -1.12   -395.28     23.85      6.11    5.1692    87934.1
2024  5 25  1 33  0   0    -1.31    -8.71    -1.11   -395.10     23.51      3.34    4.7900    83802.4
2024  5 25  1 34  0   0    -1.31    -8.88    -1.03   -394.92     23.17      0.57    3.6846    79670.6
2024  5 25  1 35  0   0    -1.15    -8.74    -1.18   -395.62     29.29      1.92    3.5047    83779.8
2024  5 25  1 36  0   0    -1.43    -8.71    -1.29   -396.61     28.45     -3.25    3.3513    82422.3
