Combined L1 Data for 2024-05-20 (Despiked, Unpropagated) (GSM nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T nSat satUsed
#START
2024  5 20  0  0  0   0     1.15     5.12     7.35   -383.95     -0.90    -25.85    4.9118    62962.0  3  0
2024  5 20  0  1  0   0     0.06     4.94     7.39   -375.69     -6.89    -26.14    4.8164    61837.0  3  0
2024  5 20  0  2  0   0     0.20     4.94     7.65   -376.06     -5.10    -26.43    4.7210    63904.0  3  0
2024  5 20  0  3  0   0     0.89     5.42     7.48   -380.11     13.04    -39.20    4.7600    49156.9  2  1
2024  5 20  0  4  0   0     1.38     4.93     7.46   -382.74      2.30    -27.01    4.5301    63904.0  3  0
2024  5 20  0  5  0   0     1.37     4.87     7.15   -380.56     -1.50    -24.97    4.5958    69019.0  3  0
2024  5 20  0  6  0   0     0.88     5.29     6.86   -382.94     -5.30    -28.73    4.5392    61195.0  3  0
2024  5 20  0  7  0   0    -0.27     5.58     7.14   -380.39     -7.70    -32.48    4.4825    65169.0  3  0
2024  5 20  0  8  0   0    -0.07     5.42     7.36   -369.99     -8.20    -29.15    4.7027    61524.0  3  0
2024  5 20  0  9  0   0    -0.65     5.68     6.68   -373.13     -6.10    -25.81    4.9230    60712.0  3  0
2024  5 20  0 10  0   0     0.73     5.41     7.00   -376.28     -7.50    -22.47    5.1432    78925.6  3  0
2024  5 20  0 11  0   0     0.96     5.68     7.06   -380.98     -6.80    -28.69    5.2382    69925.0  3  0
2024  5 20  0 12  0   0     1.43     5.28     7.14   -379.51     -4.03    -34.92    5.3331    72320.0  3  0
2024  5 20  0 13  0   0     2.13     4.87     6.99   -384.06     -9.60    -35.17    5.2262    57339.6  3  0
2024  5 20  0 14  0   0     3.27     4.85     7.00   -381.78     -3.30    -35.43    5.1193    68718.0  3  0
2024  5 20  0 15  0   0     3.40     5.36     6.70   -387.07     -6.05    -33.86    5.0886    67435.0  3  0
2024  5 20  0 16  0   0     3.17     4.75     6.91   -384.16     -7.02    -32.29    5.0579    61312.0  3  0
2024  5 20  0 17  0   0     2.32     5.14     7.07   -382.68     -7.99    -30.72    5.0272    79705.6  3  0
2024  5 20  0 18  0   0     2.64     5.62     6.61   -385.98      3.90    -47.70    4.6100    61312.0  2  1
2024  5 20  0 19  0   0     3.75     5.73     6.33   -390.68     -6.04    -64.60    4.9100    50139.5  2  1
2024  5 20  0 20  0   0     2.40     5.67     6.27   -395.39    -15.99    -54.00    4.4700    49036.6  2  1
2024  5 20  0 21  0   0    -0.41     5.58     7.31   -400.12    -31.60    -24.60    3.4400    42505.0  2  1
2024  5 20  0 22  0   0     0.67     5.52     6.81   -390.38    -12.62    -46.80    3.8600    42964.6  2  1
2024  5 20  0 23  0   0     1.76     5.60     7.15   -390.06     -9.00    -53.70    4.1600    46438.2  2  1
2024  5 20  0 24  0   0    -0.65     5.77     7.14   -392.58    -14.78    -19.75    4.8121    60369.7  3  0
2024  5 20  0 25  0   0    -1.37     5.05     7.33   -386.50     -8.18    -22.65    4.9805    46438.2  3  0
2024  5 20  0 26  0   0    -1.88     5.21     7.04   -386.90     -1.57    -25.54    5.1488    47222.0  3  0
2024  5 20  0 27  0   0    -2.29     5.05     7.31   -386.90      4.30    -30.68    5.5328    46584.8  3  0
