Combined L1 Data for 2024-05-06 (Despiked, Unpropagated) (GSM nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T nSat satUsed
#START
2024  5  6  0 55  0   0    -3.31    11.15     7.49   -376.04      3.58      0.70    9.1088    90278.6  3  0
2024  5  6  0 56  0   0    -3.91    11.09     7.68   -375.58      3.82     -7.00    8.4700    86836.7  3  0
2024  5  6  0 57  0   0    -4.02    10.87     8.24   -375.13      3.38     -9.40    7.3800    91350.4  3  0
2024  5  6  0 58  0   0    -3.71    11.22     8.08   -373.70      8.91    -14.52    6.2000    95978.4  3  0
2024  5  6  0 59  0   0    -3.03    11.09     7.87   -375.11      9.12     -9.86    6.4700   102260.1  3  0
2024  5  6  1  0  0   0    -3.46    10.68     7.79   -375.43      9.49     -9.21    6.5700   102884.0  3  0
2024  5  6  1  1  0   0    -3.66    10.49     7.57   -380.13      4.90     -8.55    6.9934   103509.8  3  0
2024  5  6  1  2  0   0    -3.60    10.53     7.37   -382.42      3.90     -7.18    9.0914   109429.6  3  0
2024  5  6  1  3  0   0    -4.09    10.28     8.36   -382.22      9.12     -5.81    8.0848   115513.9  3  0
2024  5  6  1  4  0   0    -4.84    10.29     9.06   -375.31     10.06     -7.87    6.2191   103621.0  3  0
2024  5  6  1  5  0   0    -5.06    10.16     9.04   -375.51     -0.10     -9.01    5.6548   101619.5  3  0
2024  5  6  1  6  0   0    -5.27     9.88     8.89   -377.04      6.39    -10.15    5.2534    99657.1  3  0
2024  5  6  1  7  0   0    -5.17     9.91     9.24   -372.64      4.77    -11.29    4.9320    76659.3  3  0
2024  5  6  1  8  0   0    -5.14     9.92     9.36   -376.56      3.00    -12.43    4.7944    68439.6  3  0
2024  5  6  1  9  0   0    -5.24    10.06     9.47   -375.17     -1.87     -8.97    4.2695    68150.0  3  0
2024  5  6  1 10  0   0    -5.23     9.96     9.49   -373.64     -4.41     -7.78    4.1583    68229.0  3  0
2024  5  6  1 11  0   0    -5.59     9.55     9.86   -374.16     -6.95     -6.59    4.0471    63504.0  3  0
2024  5  6  1 12  0   0    -5.93     9.13    10.22   -372.68     -4.47    -10.55    3.9147    82555.2  3  0
2024  5  6  1 13  0   0    -6.17     8.90    10.25   -373.26     -1.60    -14.50    3.7824    63504.0  3  0
2024  5  6  1 14  0   0    -6.02     8.98    10.25   -370.20     -2.09    -14.09    3.6109    56604.0  3  0
2024  5  6  1 15  0   0    -6.01     9.43    10.10   -371.83     -9.74    -13.68    3.4395    58663.0  3  0
2024  5  6  1 16  0   0    -6.37     9.15    10.27   -373.25     -7.60    -13.26    3.6005    76261.9  3  0
2024  5  6  1 17  0   0    -6.09     9.22    10.25   -372.40     -1.44    -12.98    4.1100    98659.5  3  0
2024  5  6  1 18  0   0    -6.81     8.67    10.39   -375.44     -6.90    -12.70    3.9711   105878.5  3  0
2024  5  6  1 19  0   0    -6.55     9.18    10.88   -370.12    -11.15    -16.69    4.7200    81445.0  3  0
2024  5  6  1 20  0   0    -6.61     9.16    10.70   -373.01     -5.61    -17.16    4.6700    83832.8  3  0
2024  5  6  1 21  0   0    -6.22     9.23    10.18   -374.81     -2.85    -17.62    4.3400    87082.6  3  0
2024  5  6  1 22  0   0    -6.32     9.24    10.08   -373.28     -7.28    -20.18    4.3500    93934.7  3  0
2024  5  6  1 23  0   0    -6.50     8.98     9.78   -369.23    -17.60    -22.75    4.2100   101046.4  3  0
2024  5  6  1 24  0   0    -6.10     9.72     9.87   -370.64    -16.86    -10.53    3.9700    86908.1  3  0
2024  5  6  1 25  0   0    -5.77    10.18     9.60   -368.15    -14.59    -10.24    4.1200    84881.0  3  0
2024  5  6  1 26  0   0    -5.67    10.26     9.53   -368.84    -13.82     -9.94    4.4100    82877.9  3  0
2024  5  6  1 27  0   0    -5.76    10.14     9.57   -370.73    -17.27    -10.81    4.6700    82536.9  3  0
2024  5  6  1 28  0   0    -5.61    10.22     9.50   -370.52    -13.00    -11.69    4.5200    82196.7  3  0
2024  5  6  1 29  0   0    -5.64    10.28     9.31   -370.32    -14.70    -12.98    4.4300    82818.7  3  0
2024  5  6  1 30  0   0    -5.40    10.60     9.18   -372.30    -10.98    -14.28    4.7000    83444.2  3  0
2024  5  6  1 31  0   0    -5.41    10.26     9.49   -374.77    -11.38    -15.57    4.6700    84069.7  3  0
2024  5  6  1 32  0   0    -5.48    10.00     9.63   -374.10    -12.67    -13.24    4.5800    97041.2  3  0
2024  5  6  1 33  0   0    -5.20    10.28     9.44   -374.89    -16.20    -10.91    4.8100   110943.1  3  0
2024  5  6  1 34  0   0    -5.16     9.95     9.79   -375.70    -15.10     -7.71    4.7000   109365.5  3  0
2024  5  6  1 35  0   0    -4.90    10.20     9.74   -378.81    -14.86     -7.16    4.6700   113481.2  3  0
2024  5  6  1 36  0   0    -4.80    10.34     9.44   -377.58    -11.93     -6.62    4.5500   117673.0  3  0
2024  5  6  1 37  0   0    -5.16    10.18     9.69   -377.61    -13.60     -5.38    4.5400   117583.0  3  0
2024  5  6  1 38  0   0    -5.36    12.37     5.71   -379.35    -20.52      6.20    5.1500   117493.1  3  0
2024  5  6  1 39  0   0    -5.40    10.38     8.08   -377.55    -19.65      0.67    5.3600   112543.9  3  0
2024  5  6  1 40  0   0    -5.29    10.10     9.64   -375.74    -15.20      2.25    5.2800   107860.9  3  0
2024  5  6  1 41  0   0    -5.00    11.64     7.33   -379.78    -18.70     -2.89    5.6000   103177.9  3  0
2024  5  6  1 42  0   0    -4.39    12.92     3.84   -380.26    -16.40      5.47    6.1200   117298.0  2  1
2024  5  6  1 43  0   0    -5.13    11.24     7.80   -380.74    -16.26    -19.77    5.3200    93811.9  3  0
2024  5  6  1 44  0   0    -6.06     9.74     8.92   -381.23    -11.80    -32.37    4.4765    97431.0  3  0
2024  5  6  1 45  0   0    -5.71     9.00     9.95   -381.71     -8.00    -30.51    4.4709    79159.0  3  0
2024  5  6  1 46  0   0    -5.20    10.22     8.99   -382.82     -9.32    -28.65    4.2724    76220.0  3  0
2024  5  6  1 47  0   0    -4.62    10.90     8.13   -382.70     -9.47    -31.80    5.5541    96243.0  3  0
2024  5  6  1 48  0   0    -4.72    10.17     8.95   -382.59     -9.61    -31.90    5.2400    75855.0  3  0
2024  5  6  1 49  0   0    -4.81     9.96     8.99   -376.85    -11.41    -34.68    5.8300    89384.0  3  0
2024  5  6  1 50  0   0    -4.38    10.03     9.08   -377.40    -14.62    -31.90    6.1800   112311.0  3  0
2024  5  6  1 51  0   0    -4.59    10.00     8.98   -375.52    -14.98    -29.90    6.2300   109828.3  3  0
2024  5  6  1 52  0   0    -4.57     9.90     8.82   -374.61    -17.57    -34.13    5.9900   109730.3  3  0
2024  5  6  1 53  0   0    -4.52    10.10     8.73   -377.08    -16.81    -33.97    5.8200   109632.2  3  0
2024  5  6  1 54  0   0    -4.23    10.31     8.71   -378.54    -21.60    -33.56    5.9700   110225.6  3  0
2024  5  6  1 55  0   0    -4.01    10.46     8.61   -385.60    -22.10    -33.15    6.0500   104917.0  3  0
2024  5  6  1 56  0   0    -4.05    10.68     8.58   -385.26    -21.30    -32.75    6.1700   107891.0  3  0
2024  5  6  1 57  0   0    -4.40     9.78     9.34   -381.74    -18.93    -12.82    6.1900    82993.1  2  1
2024  5  6  1 58  0   0    -4.65    10.61     8.53   -381.72    -19.71    -31.93    6.1300   107891.0  3  0
2024  5  6  1 59  0   0    -4.35     9.65     9.23   -382.20    -25.00    -35.05    6.1000   110024.0  3  0
2024  5  6  2  0  0   0    -4.14     9.89     9.24   -382.28    -24.03    -34.80    6.0300   110470.2  3  0
2024  5  6  2  1  0   0    -4.04     9.47     9.43   -382.36    -21.67    -30.70    5.6600   107174.0  3  0
2024  5  6  2  2  0   0    -3.34    10.90     8.33   -382.70    -13.96    -26.90    6.3800   109671.0  3  0
2024  5  6  2  3  0   0    -3.64    10.58     8.53   -387.02    -20.89    -27.30    6.4500   109052.0  3  0
