Produced from ace CDAWeb CDFs (nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5 12  0  0  0   0     3.72     6.41     1.84   -903.21    -25.29     50.57    1.4706   431612.2
2024  5 12  0  1  0   0     3.64     6.24     1.32   -899.57    -18.77     47.74    1.4585   417214.1
2024  5 12  0  2  0   0     3.20     5.48     0.93   -893.34    -44.61     48.21    1.6197   506310.2
2024  5 12  0  3  0   0     3.94     5.67     1.23   -903.60    -28.87     49.36    1.6724   424000.4
2024  5 12  0  4  0   0     4.21     6.01    -0.54   -914.96    -28.89     66.23    1.4648   462706.5
2024  5 12  0  5  0   0     3.76     6.45    -0.25   -906.93    -29.18     63.68    1.6399   409046.4
2024  5 12  0  6  0   0     4.79     6.19    -0.21   -911.92    -43.91     53.95    1.4315   416091.4
2024  5 12  0  7  0   0     4.76     6.40     0.93   -903.73    -30.08     40.90    1.3972   432463.3
2024  5 12  0  8  0   0     5.23     5.56     2.79   -919.19    -19.76     35.01    1.4063   475583.0
2024  5 12  0  9  0   0     4.91     6.65     1.95   -914.28    -16.50     40.38       nan   446925.4
2024  5 12  0 10  0   0     4.30     7.20     1.48   -909.37    -13.25     45.75    1.4244   418267.8
2024  5 12  0 11  0   0     4.89     6.87     0.27   -901.39    -40.54     45.63    1.4082   384893.4
2024  5 12  0 12  0   0     6.33     5.29    -1.87   -925.62    -30.24     57.63    1.6972   393964.8
2024  5 12  0 13  0   0     5.78     6.25    -2.23   -920.81    -27.07     58.62    1.4619   408775.9
2024  5 12  0 14  0   0     6.16     5.17    -3.98   -925.37    -10.32     69.03    1.5235   370515.5
2024  5 12  0 15  0   0     5.59     5.77    -1.70   -922.42    -34.67     67.37    1.8620   403243.4
2024  5 12  0 16  0   0     5.03     5.54     1.74   -929.61    -63.25     50.61    2.2006   351051.3
2024  5 12  0 17  0   0     5.63     5.49    -0.39   -937.38    -27.88     56.69    1.9139   360248.8
2024  5 12  0 18  0   0     5.78     5.54    -0.37   -929.26    -21.70     48.41    1.7588   425608.3
2024  5 12  0 19  0   0     6.52     3.48    -1.97   -939.18    -23.16     46.47    1.8966   525367.1
2024  5 12  0 20  0   0     7.57     1.36    -3.04   -931.85    -29.49     55.55       nan   504311.4
2024  5 12  0 21  0   0     6.50    -0.30    -3.76   -950.27    -13.44     63.30    2.1723   382342.7
2024  5 12  0 22  0   0     3.99     4.93     2.14   -904.13    -27.44     35.78    2.1308   311794.5
2024  5 12  0 23  0   0     4.47     4.62     1.06   -962.69    -50.90     61.04    2.0893   411013.6
2024  5 12  0 24  0   0     5.96     1.26    -4.95   -958.68    -53.15     70.92    2.1786   411986.0
2024  5 12  0 25  0   0     6.65     2.66    -3.38   -961.28    -43.80     71.78    2.1523   402098.8
2024  5 12  0 26  0   0     6.91     3.54    -2.02   -963.87    -34.45     72.64    2.1260   392211.6
2024  5 12  0 27  0   0     6.59    -0.95    -4.38   -977.24    -41.12     57.87    1.8110   349872.6
2024  5 12  0 28  0   0     5.19    -2.90    -4.85   -978.28    -26.52     67.68    1.6849   368058.9
2024  5 12  0 29  0   0     1.83    -6.62    -4.45   -970.91    -27.79     73.36    1.6903   227127.4
2024  5 12  0 30  0   0     2.29    -6.63    -4.88   -970.32     -0.20     73.34       nan   228521.5
2024  5 12  0 31  0   0     3.12    -6.08    -5.11   -969.74     27.38     73.33       nan   229915.6
2024  5 12  0 32  0   0     3.86    -5.33    -5.38   -976.07     31.86     82.04       nan   200652.3
2024  5 12  0 33  0   0     4.55    -4.38    -5.53   -982.17     15.48     80.18    1.7120   170992.7
2024  5 12  0 34  0   0     5.41    -3.02    -5.35   -974.47     36.96     84.07    1.8275   195194.6
2024  5 12  0 35  0   0     6.25    -1.14    -5.30   -982.09     36.73     81.41    1.7142   185287.8
2024  5 12  0 36  0   0     5.46    -1.38    -5.80   -966.10     43.65     76.40    1.6302   224572.2
2024  5 12  0 37  0   0     4.88    -4.90    -5.16   -983.86    -30.80     87.48    1.6588    97087.9
2024  5 12  0 38  0   0     4.69    -5.67    -5.35   -976.31    -15.47     84.29    1.8373   115930.1
2024  5 12  0 39  0   0     4.74    -1.46    -5.72   -973.27      6.04     73.58    2.0158   146232.2
2024  5 12  0 40  0   0     5.64    -2.93    -5.62   -977.33     -5.12     69.70    1.7355   129369.8
2024  5 12  0 41  0   0     5.83    -2.62    -6.07   -981.20    -13.25     66.07    1.7706   105093.1
2024  5 12  0 42  0   0     6.00    -3.19    -5.73   -985.07    -21.39     62.43    1.8057    80816.4
2024  5 12  0 43  0   0     5.42    -3.95    -5.84   -984.26     -9.32     56.10    2.2906   104667.1
2024  5 12  0 44  0   0     5.42    -4.27    -5.51   -984.25     -1.38     47.33    2.0695    71978.6
2024  5 12  0 45  0   0     4.29    -4.10    -6.54   -976.52     -3.80     65.26    1.7730    95145.7
2024  5 12  0 46  0   0     4.91    -4.01    -6.20   -974.91     -7.33     77.94    1.9134   125766.7
2024  5 12  0 47  0   0     5.15    -3.32    -6.32   -981.56    -14.74     72.18    1.9841   110879.1
2024  5 12  0 48  0   0     5.37    -2.12    -5.96   -990.18     -2.98     58.29    2.5973    90911.4
2024  5 12  0 49  0   0     5.27    -1.81    -6.00   -977.87     12.89     62.22    2.2705   109671.9
2024  5 12  0 50  0   0     5.57    -1.62    -5.77   -984.44     -3.67     62.16    2.4513    89602.6
2024  5 12  0 51  0   0     4.56    -1.16    -5.79   -980.91    -33.83     71.87    2.1083   193943.7
2024  5 12  0 52  0   0     4.38    -1.16    -5.85   -984.86    -26.96     62.81    2.2221   171111.0
2024  5 12  0 53  0   0     4.08    -1.59    -6.32   -979.97    -12.03     71.54    1.9306   199338.3
2024  5 12  0 54  0   0     5.01    -1.55    -6.11  -1001.72    -32.46     61.17    1.7277   117543.7
2024  5 12  0 55  0   0     5.72    -1.47    -5.71   -986.66    -27.79     74.46    2.0223   140122.4
2024  5 12  0 56  0   0     4.79    -1.99    -6.11   -989.87     -9.86     75.50    2.1922   128772.9
2024  5 12  0 57  0   0     4.72    -2.15    -5.75   -992.04     -9.17     77.46    2.2427   134710.5
2024  5 12  0 58  0   0     4.07    -2.38    -5.73   -994.21     -8.48     79.41    2.2932   140648.1
2024  5 12  0 59  0   0     3.86    -2.42    -5.86   -995.60      2.16     76.18    2.1067   117455.8
2024  5 12  1  0  0   0     2.72    -2.38    -5.12   -988.57    -25.94     82.20    2.3377   143913.5
2024  5 12  1  1  0   0    -3.57    -5.02    -1.40   -973.18     -1.99     71.37    3.6640   129681.6
2024  5 12  1  2  0   0     4.78    -0.87    -5.25   -948.16     14.27     45.24    4.5871   142615.7
2024  5 12  1  3  0   0     4.94    -0.47    -5.57   -960.10      3.35     56.64    4.3909   124553.6
2024  5 12  1  4  0   0     4.83     0.58    -5.64   -972.03     -7.58     68.05    4.1948   106491.5
2024  5 12  1  5  0   0     4.90     0.60    -5.28   -965.74      0.07     56.70    5.1926   118503.1
2024  5 12  1  6  0   0     4.97    -0.15    -5.57   -979.21      3.40     66.58    4.3273    94977.2
2024  5 12  1  7  0   0     5.10     0.21    -5.07   -971.32     -3.92     52.13    3.7176   105422.2
2024  5 12  1  8  0   0     5.47     0.07    -5.06   -984.51    -15.48     60.16    4.4455    92920.5
2024  5 12  1  9  0   0     5.98    -0.45    -4.54   -976.62    -12.65     63.15    4.1919   102144.8
2024  5 12  1 10  0   0     5.63    -0.49    -4.47   -985.00     -1.56     65.88    4.7150    97645.4
2024  5 12  1 11  0   0     6.74     1.78    -3.05   -962.44    -10.42     59.30    3.8001   185087.1
2024  5 12  1 12  0   0     7.28     2.65    -2.21   -964.46     -7.65     55.06    2.8852   188738.2
2024  5 12  1 13  0   0     7.31     2.22    -2.22   -963.53     -1.70     54.26    3.0260   187099.5
2024  5 12  1 14  0   0     7.17     2.10    -2.79   -962.59      4.25     53.47    3.1669   185460.8
2024  5 12  1 15  0   0     6.88     1.61    -2.66   -963.70     -2.85     50.34    2.9962   196675.7
2024  5 12  1 16  0   0     6.42     0.82    -3.21   -956.81      9.31     52.24    4.0416   183883.4
2024  5 12  1 17  0   0     6.26     0.05    -3.45   -972.97    -11.49     57.62    5.1429   152020.3
2024  5 12  1 18  0   0     6.67    -0.64    -2.49   -968.86     -3.89     57.82    4.9742   153657.2
2024  5 12  1 19  0   0     6.12    -1.01    -3.05   -976.33     -0.88     51.17    5.8627   140622.6
2024  5 12  1 20  0   0     5.76    -2.87    -3.30   -968.51      9.58     55.46    5.2081   158747.1
2024  5 12  1 21  0   0     6.10    -1.26    -3.27   -978.61    -14.13     62.18    5.2002   142072.0
2024  5 12  1 22  0   0     6.98     0.11    -2.20   -970.61    -13.87     52.45    4.0993   149146.5
2024  5 12  1 23  0   0     6.39     0.28    -2.50   -972.34     -5.33     51.16    4.4268   156764.9
2024  5 12  1 24  0   0     6.68     1.18    -1.87   -967.56      5.06     57.21    3.8935   148906.7
2024  5 12  1 25  0   0     6.30     1.92    -1.15   -965.55     -3.40     49.97    3.7373   174304.0
2024  5 12  1 26  0   0     6.06     2.09    -0.92   -961.13      5.09     50.88    3.5137   157026.4
2024  5 12  1 27  0   0     6.03     1.91    -0.80   -971.47      8.68     44.79    3.7045   171711.5
2024  5 12  1 28  0   0     5.18     2.90    -1.26   -963.28     17.54     43.90    3.7828   140002.0
2024  5 12  1 29  0   0     5.18     2.23    -1.36   -963.73     11.81     46.53    3.9607   149598.5
2024  5 12  1 30  0   0     4.94     3.22     1.56   -964.18      6.09     49.17    4.1387   159195.1
2024  5 12  1 31  0   0     4.66     3.29     1.21   -960.44     -7.25     41.84    3.5987   153054.8
2024  5 12  1 32  0   0     2.72     0.35     2.43   -963.40     13.73     35.30    4.0648   140732.9
2024  5 12  1 33  0   0    -2.98    -0.99    -1.21   -951.80     29.44     41.06    7.5798   106362.5
2024  5 12  1 34  0   0    -2.23    -3.98    -0.28   -947.08     16.98     41.29    6.8468    93292.3
2024  5 12  1 35  0   0    -3.32    -4.11    -3.28   -956.07     -7.41     39.63    7.2180    76308.7
2024  5 12  1 36  0   0    -3.43    -2.61    -4.80   -956.93      3.66     35.11    6.9534    77489.9
2024  5 12  1 37  0   0    -3.78    -2.61    -4.44   -957.79     14.74     30.59    6.6889    78671.0
2024  5 12  1 38  0   0    -4.21    -4.22    -3.29   -954.12    -17.34     35.30    6.5566    50871.8
2024  5 12  1 39  0   0    -4.49    -4.04    -3.08   -954.99     -9.60     34.26    5.8935    84129.0
2024  5 12  1 40  0   0    -3.78    -3.57    -4.00   -956.26     10.71     30.64    6.1659    73385.4
2024  5 12  1 41  0   0    -2.77    -3.13    -4.07   -960.13      9.85     30.99    6.3908    76956.1
2024  5 12  1 42  0   0     0.36    -2.55    -5.34   -956.86     -2.72     35.29    7.4631    50702.3
2024  5 12  1 43  0   0    -1.84    -3.81    -4.10   -947.94      6.39     28.57    7.2317    70717.4
2024  5 12  1 44  0   0    -2.63    -3.68    -3.81   -946.09      9.50     29.69    7.1619    53966.7
2024  5 12  1 45  0   0    -1.08    -3.48    -4.57   -943.60      9.17     28.94       nan    58754.2
2024  5 12  1 46  0   0     0.60    -2.77    -5.32   -941.10      8.84     28.18    7.0224    63541.8
2024  5 12  1 47  0   0     1.07    -2.58    -5.57   -943.40      6.98     29.35    6.3790    43420.4
2024  5 12  1 48  0   0    -0.16    -3.66    -5.36   -938.26     -5.46     32.71    5.7974    64984.1
2024  5 12  1 49  0   0    -1.86    -5.77    -4.38   -941.54     -4.10     30.95    5.5980    46779.4
2024  5 12  1 50  0   0    -2.36    -6.09    -4.05   -940.44     -0.79     24.06    5.5213    45743.0
2024  5 12  1 51  0   0    -1.06    -5.15    -5.15   -930.36      6.80     29.72       nan    49167.7
2024  5 12  1 52  0   0    -2.36    -6.00    -4.51   -934.81    -16.27     26.26       nan    42954.1
2024  5 12  1 53  0   0    -2.39    -5.93    -4.60   -940.28    -11.59     24.79       nan    27153.7
2024  5 12  1 54  0   0    -2.35    -6.00    -4.51   -939.05    -10.41     25.17       nan    43107.4
2024  5 12  1 55  0   0    -2.39    -5.94    -4.62   -938.93      3.35     22.36       nan    27635.5
2024  5 12  1 56  0   0    -2.32    -6.11    -4.52   -933.82     -4.62     23.87       nan    38826.9
2024  5 12  1 57  0   0    -2.23    -6.13    -4.48   -936.45      4.74     21.67       nan    29517.2
2024  5 12  1 58  0   0    -2.59    -5.84    -4.77   -931.87    -11.00     24.98       nan    39909.3
2024  5 12  1 59  0   0    -2.50    -6.02    -4.62   -937.11      3.03     22.19       nan    21599.9
2024  5 12  2  0  0   0    -2.66    -6.39    -4.11   -933.03     -0.57     22.85       nan    33768.8
2024  5 12  2  1  0   0    -2.31    -6.47    -4.10   -933.92      2.14     21.99       nan    29744.2
2024  5 12  2  2  0   0    -2.03    -6.39    -4.32   -934.81      4.85     21.13       nan    25719.6
2024  5 12  2  3  0   0    -1.49    -6.49    -4.58   -926.84    -12.15     24.29       nan    28521.0
2024  5 12  2  4  0   0    -1.27    -6.48    -4.62   -933.09     -0.10     22.51    4.4476    22749.5
2024  5 12  2  5  0   0    -1.25    -6.33    -4.69   -921.39    -20.13     25.88    4.3258    19217.8
2024  5 12  2  6  0   0    -1.65    -5.99    -4.75   -931.71    -18.73     25.88    5.7593    29954.5
2024  5 12  2  7  0   0    -1.81    -5.84    -4.72   -929.42    -13.34     25.84    3.9488    30562.1
2024  5 12  2  8  0   0    -2.15    -5.24    -5.16   -937.52     12.64     19.25    5.4173    22662.9
2024  5 12  2  9  0   0    -1.87    -5.21    -5.26   -933.63     -2.64     22.37    4.7806    25050.9
2024  5 12  2 10  0   0    -1.78    -5.41    -5.26   -929.74    -17.92     25.50    4.1438    27438.8
2024  5 12  2 11  0   0    -1.06    -5.55    -5.14   -927.94     -4.22     23.10    5.2353    29452.3
2024  5 12  2 12  0   0     0.57    -4.86    -5.13   -920.83      0.20     21.66    4.9384    22714.5
2024  5 12  2 13  0   0     2.72    -2.96    -5.61   -912.30     23.00     18.98    6.0549    57529.6
2024  5 12  2 14  0   0     3.48    -2.97    -5.06   -911.28      3.09     24.31    7.1715    39402.0
2024  5 12  2 15  0   0     2.72    -3.65    -5.14   -909.44      0.83     22.95    8.3074    42978.7
2024  5 12  2 16  0   0     2.82    -3.08    -5.28   -918.37     13.72     19.28    6.9861    38352.3
2024  5 12  2 17  0   0     2.43    -3.15    -5.48   -920.20     18.20     18.74    7.1770    44934.2
2024  5 12  2 18  0   0     2.45    -3.22    -5.49   -922.04     22.68     18.20       nan    51516.1
2024  5 12  2 19  0   0     2.73    -2.67    -5.17   -910.90      1.72     22.51    7.5587    32332.2
2024  5 12  2 20  0   0     5.16    -1.47    -4.16   -921.17      5.11     22.51    7.7328    58054.9
2024  5 12  2 21  0   0     3.71    -2.18    -4.91   -916.12      2.54     22.11    7.3681    33692.5
2024  5 12  2 22  0   0     3.69    -2.08    -5.11   -918.34     -4.79     24.00    7.7548    47001.5
2024  5 12  2 23  0   0     2.92    -3.31    -4.32   -913.33    -14.95     25.85    9.6547    29655.1
2024  5 12  2 24  0   0     3.58    -2.69    -4.63   -914.78    -14.19     25.49   10.7533    46231.8
2024  5 12  2 25  0   0     3.28    -2.87    -4.36   -912.79      1.06     22.30    9.5200    38667.8
2024  5 12  2 26  0   0     2.36    -3.62    -3.68   -915.25     -6.79     24.94    7.7193    52020.1
2024  5 12  2 27  0   0     2.47    -2.52    -2.89   -909.65    -19.06     25.10    8.6574    43384.0
2024  5 12  2 28  0   0    -3.36    -1.37     2.40   -916.95    -10.57     23.75    9.5955    57715.1
2024  5 12  2 29  0   0    -5.01     0.16     4.62   -920.76    -10.76     25.15    6.1307    73401.8
2024  5 12  2 30  0   0    -5.27     0.68     5.00   -935.71     -8.68     26.28    4.0034    22873.8
2024  5 12  2 31  0   0    -5.60     0.70     4.56   -935.08    -17.64     27.57    3.7973    41824.3
2024  5 12  2 32  0   0    -5.57     0.97     4.42   -936.54     -8.18     26.03    4.3599    27673.1
2024  5 12  2 33  0   0    -5.59     0.94     4.53   -933.20     -7.71     25.64    3.7602    30169.0
2024  5 12  2 34  0   0    -5.67     0.89     4.53   -929.85     -7.25     25.26    3.1605    32664.9
2024  5 12  2 35  0   0    -5.43     0.98     4.49   -935.47     -2.30     24.33    4.0472    24476.4
2024  5 12  2 36  0   0    -5.62     0.96     4.24   -933.23    -15.63     27.69    3.7901    39377.6
2024  5 12  2 37  0   0    -5.31     0.85     4.39   -933.79     -5.36     24.54    4.2658    26829.0
2024  5 12  2 38  0   0    -5.07     0.69     4.09   -919.25     -4.89     24.04    6.2487    34494.3
2024  5 12  2 39  0   0    -5.42     0.66     4.17   -926.93      9.46     20.39    6.4170    43927.5
2024  5 12  2 40  0   0    -5.42     0.29     3.76   -928.80     -0.71     23.58    4.4050    62407.4
2024  5 12  2 41  0   0    -5.32    -0.22     3.86   -930.43    -15.01     26.28    6.2980    48658.2
2024  5 12  2 42  0   0    -5.34     0.16     4.13   -929.83     -8.84     25.33    4.9579    46457.0
2024  5 12  2 43  0   0    -5.36     0.00     4.50   -929.24     -2.68     24.38    3.6179    44255.8
2024  5 12  2 44  0   0    -4.83     0.09     4.58   -936.48    -12.08     27.86    5.1029    30079.2
2024  5 12  2 45  0   0    -4.91     0.26     4.73   -926.91    -11.93     27.14    3.5196    24774.5
2024  5 12  2 46  0   0    -5.32     0.42     4.59   -934.66      4.37     22.63    4.7359    16900.4
2024  5 12  2 47  0   0    -5.30     0.63     4.50   -930.33     -1.84     25.37    3.5000    28940.6
2024  5 12  2 48  0   0    -5.27     0.50     4.49   -934.18      6.50     21.24    4.7704    18081.2
2024  5 12  2 49  0   0    -5.14     0.69     4.59   -931.09     -4.70     24.15    4.1683    22283.2
2024  5 12  2 50  0   0    -5.21     0.67     4.55   -928.01    -15.91     27.05    3.5662    26485.2
2024  5 12  2 51  0   0    -5.55     0.00     3.87   -929.95     -5.95     24.99    4.4931    23912.1
2024  5 12  2 52  0   0    -5.71    -0.31     3.20   -921.29     -6.50     23.49    4.5447    30192.1
2024  5 12  2 53  0   0    -5.64    -0.24     3.32   -928.50     -4.00     24.56    4.7253    33065.2
2024  5 12  2 54  0   0    -5.80    -0.12     3.32   -923.58    -20.96     26.85    4.8253    33089.5
2024  5 12  2 55  0   0    -5.57     0.01     3.40   -929.17    -14.85     25.30    5.9163    34633.0
2024  5 12  2 56  0   0    -5.58     0.08     3.61   -922.12     -6.21     24.92    4.3681    31434.5
2024  5 12  2 57  0   0    -5.15     0.38     3.83   -933.54      7.15     22.57    4.1378    43172.5
2024  5 12  2 58  0   0    -5.36    -0.17     3.40   -929.91    -21.73     27.06    5.2419    43839.2
2024  5 12  2 59  0   0    -5.01     0.35     3.67   -929.52    -17.52     27.04    6.6241    42980.9
2024  5 12  3  0  0   0    -5.14     0.47     3.59   -936.39    -11.27     26.69    5.4898    44381.2
2024  5 12  3  1  0   0    -5.00     0.56     3.38   -942.58    -18.06     28.22    5.4205    43754.2
2024  5 12  3  2  0   0    -4.93     0.92     3.43   -935.23    -31.48     29.38    5.4092    49587.7
2024  5 12  3  3  0   0    -5.33     0.51     2.89   -932.31    -16.20     26.17    6.3536    50854.5
2024  5 12  3  4  0   0    -5.70     0.51     2.47   -928.61    -13.29     26.35    5.8626    45451.1
2024  5 12  3  5  0   0    -5.57     0.58     2.86   -927.13    -12.67     26.58    5.2468    47014.2
2024  5 12  3  6  0   0    -5.66    -0.24     2.24   -925.65    -12.04     26.82    4.6310    48577.4
2024  5 12  3  7  0   0    -5.42    -1.22     0.19   -927.20    -15.39     26.04    7.2948    88155.2
2024  5 12  3  8  0   0    -5.39    -1.78    -0.75   -927.05     -9.55     25.21    7.5844    76642.1
2024  5 12  3  9  0   0    -3.95    -2.10    -3.19   -912.35     -8.02     23.78    5.6762    67089.9
2024  5 12  3 10  0   0    -3.67    -3.07    -3.30   -922.25     -4.51     24.30    8.0639    44844.1
2024  5 12  3 11  0   0    -4.35    -2.83    -3.24   -911.86    -20.21     25.05    7.7605    49655.6
2024  5 12  3 12  0   0    -4.30    -2.14    -4.07   -907.69    -18.31     26.48    6.8688    61565.1
2024  5 12  3 13  0   0    -3.31    -1.40    -4.89   -912.92    -13.32     25.65    7.5321    38646.1
2024  5 12  3 14  0   0    -4.25    -2.29    -3.28   -912.86     -4.18     23.85    8.5265    47798.4
2024  5 12  3 15  0   0    -5.78    -2.86    -1.36   -917.71    -10.56     25.39    7.6914    54770.8
2024  5 12  3 16  0   0    -6.10    -2.33    -1.32   -922.57    -16.93     26.92       nan    61743.3
2024  5 12  3 17  0   0    -6.21    -2.02    -1.48   -928.43    -10.88     24.95    6.0212    54554.8
2024  5 12  3 18  0   0    -6.17    -1.46    -1.56   -921.17     -4.66     24.36    5.2609    52572.4
2024  5 12  3 19  0   0    -6.12    -1.36    -0.80   -919.36    -14.74     25.70    6.2125    82153.5
2024  5 12  3 20  0   0    -5.66    -2.01    -1.58   -920.97    -24.12     29.03    7.1640    50533.2
2024  5 12  3 21  0   0    -5.40    -1.97    -1.75   -923.76    -18.12     28.27    8.0888    50508.8
2024  5 12  3 22  0   0    -5.99    -1.40     0.67   -926.55    -12.12     27.50    9.0136    50484.4
2024  5 12  3 23  0   0    -5.91    -1.62    -0.05   -921.12     -8.80     26.57    8.5139    40004.5
2024  5 12  3 24  0   0    -5.64    -1.78    -0.94   -925.24    -21.85     28.11    8.6539    53622.5
2024  5 12  3 25  0   0    -5.45    -0.33     2.76   -920.21    -18.56     29.09    8.7938    38966.5
2024  5 12  3 26  0   0    -5.94    -0.78     2.12   -921.42    -20.19     28.94    9.2607    47145.0
2024  5 12  3 27  0   0    -5.67    -1.28     2.80   -920.87    -19.34     28.14    9.2501    38638.4
2024  5 12  3 28  0   0    -5.20    -0.70     4.20   -920.19    -31.47     30.12    9.6162    46051.2
2024  5 12  3 29  0   0    -5.57    -0.69     2.99   -920.25    -36.80     31.95    8.7156    41289.5
2024  5 12  3 30  0   0    -6.04    -1.18     1.10   -923.00    -16.88     28.17    9.6166    43183.8
2024  5 12  3 31  0   0    -5.72    -1.56     1.21   -922.78    -10.31     27.54    9.4603    45426.7
2024  5 12  3 32  0   0    -5.73    -1.72     0.68   -926.35    -25.90     29.09    9.9674    43046.2
2024  5 12  3 33  0   0    -5.59    -1.57     0.92   -922.96    -29.58     30.27    9.8869    38631.1
2024  5 12  3 34  0   0    -5.48    -0.74     1.72   -919.21    -21.90     29.79    9.5746    49492.8
2024  5 12  3 35  0   0    -5.61    -0.51     1.87   -919.86     -7.44     26.91    8.9171    42855.2
2024  5 12  3 36  0   0    -5.69    -0.50     1.87   -921.32    -22.10     28.70   10.7529    49710.9
2024  5 12  3 37  0   0    -5.53    -0.54     1.65   -920.47    -25.27     30.07   10.2141    48767.8
2024  5 12  3 38  0   0    -5.68    -0.66     1.45   -919.63    -28.43     31.44    9.6754    47824.6
2024  5 12  3 39  0   0    -6.27    -0.54     1.57   -919.38    -11.47     27.32    9.9929    51484.2
2024  5 12  3 40  0   0    -6.35    -0.44     1.43   -917.17     -3.83     26.40    8.7094    42059.1
2024  5 12  3 41  0   0    -6.37    -0.66     1.82   -926.31     -6.03     27.93    8.2043    50734.7
