Produced from wind CDAWeb CDFs (nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5 22  0  0  0   0    -2.58     6.50    -1.20       nan       nan       nan       nan        nan
2024  5 22  0  1  0   0    -2.77     6.34    -1.50       nan       nan       nan       nan        nan
2024  5 22  0  2  0   0    -2.98     6.16    -1.79   -376.04    -14.79      3.34    3.7253   135076.3
2024  5 22  0  3  0   0    -3.01     6.02    -1.96   -375.42    -14.44      2.34    3.8614   136328.0
2024  5 22  0  4  0   0    -3.01     5.73    -1.89   -374.79    -14.08      1.35    3.9975   137585.5
2024  5 22  0  5  0   0    -2.99     5.72    -1.94   -375.30    -14.54      0.26    4.0517   137510.1
2024  5 22  0  6  0   0    -3.26     4.96    -2.59       nan       nan       nan       nan        nan
2024  5 22  0  7  0   0    -2.68     5.28    -2.91       nan       nan       nan       nan        nan
2024  5 22  0  8  0   0    -1.77     5.88    -2.75       nan       nan       nan       nan        nan
2024  5 22  0  9  0   0    -2.04     5.61    -2.86       nan       nan       nan       nan        nan
2024  5 22  0 10  0   0     1.13     3.78    -4.49       nan       nan       nan       nan        nan
2024  5 22  0 11  0   0     0.05     4.55    -3.91       nan       nan       nan       nan        nan
2024  5 22  0 12  0   0    -0.46     4.81    -3.72       nan       nan       nan       nan        nan
2024  5 22  0 13  0   0    -0.58     5.17    -3.21       nan       nan       nan       nan        nan
2024  5 22  0 14  0   0    -0.85     5.22    -3.23       nan       nan       nan       nan        nan
2024  5 22  0 15  0   0    -0.78     5.37    -3.15       nan       nan       nan       nan        nan
2024  5 22  0 16  0   0    -0.48     5.97    -1.65       nan       nan       nan       nan        nan
2024  5 22  0 17  0   0    -0.37     5.80    -2.33       nan       nan       nan       nan        nan
2024  5 22  0 18  0   0     0.22     5.91    -2.01       nan       nan       nan       nan        nan
2024  5 22  0 19  0   0     0.90     6.16    -0.69       nan       nan       nan       nan        nan
2024  5 22  0 20  0   0     0.28     5.47     2.85       nan       nan       nan       nan        nan
2024  5 22  0 21  0   0     0.55     5.48     2.81       nan       nan       nan       nan        nan
2024  5 22  0 22  0   0     0.45     5.65     2.51       nan       nan       nan       nan        nan
2024  5 22  0 23  0   0     0.53     5.71     2.40       nan       nan       nan       nan        nan
2024  5 22  0 24  0   0     0.30     5.77     2.27       nan       nan       nan       nan        nan
2024  5 22  0 25  0   0     0.30     5.99     1.61       nan       nan       nan       nan        nan
2024  5 22  0 26  0   0     0.22     5.75     2.38       nan       nan       nan       nan        nan
2024  5 22  0 27  0   0    -0.06     5.27     3.46       nan       nan       nan       nan        nan
2024  5 22  0 28  0   0    -0.30     5.20     3.33   -386.96    -25.11    -24.71    5.2972   135780.1
2024  5 22  0 29  0   0     0.66     5.71     2.36   -388.21    -25.28    -23.94    5.2519   138106.8
2024  5 22  0 30  0   0     0.52     5.70     2.45       nan       nan       nan       nan        nan
2024  5 22  0 31  0   0     0.08     5.97     1.91       nan       nan       nan       nan        nan
2024  5 22  0 32  0   0     0.87     5.33     3.19       nan       nan       nan       nan        nan
2024  5 22  0 33  0   0     0.66     5.43     3.01       nan       nan       nan       nan        nan
