Propagated L1 Data for 2024-05-19 (Target: 14 Re) (GSM nT, km/s, cm^-3, K)
year mo dy hr mn sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5 19  0 57  0   0    -2.19     4.89    -0.47   -393.70      4.68     11.00    5.5428    57507.0
2024  5 19  0 58  0   0    -2.16     4.95    -0.30   -392.90     -1.54      6.90    5.5585    74759.1
2024  5 19  0 59  0   0    -2.16     4.94    -0.31   -394.40     -1.36      3.84    5.5742    97186.8
2024  5 19  1  1  0   0    -2.43     4.80    -0.71   -388.63      3.51     20.66    5.0900    57507.0
2024  5 19  1  2  0   0    -2.38     4.93    -0.59   -391.12      3.00     20.92    4.9500    44236.2
2024  5 19  1  3  0   0    -2.51     4.82    -0.33   -390.27     -6.29     19.35    4.9100    34027.8
2024  5 19  1  4  0   0    -2.40     4.93    -0.01   -391.34      1.93     20.11    5.0300    26175.2
2024  5 19  1  5  0   0    -2.34     4.93    -0.28   -391.25      4.39     20.23    5.0600    24238.2
2024  5 19  1  6  0   0    -2.30     4.93    -0.51   -392.37      4.12     20.88    4.9900    25270.7
2024  5 19  1  7  0   0    -1.82     5.06    -0.91   -396.39     -9.41     19.65    5.0700    27335.8
2024  5 19  1  8  0   0    -1.97     5.02    -0.81   -394.72     -2.30     20.49    4.9600    28368.3
2024  5 19  1  9  0   0    -1.99     5.01    -1.09   -395.36      3.42     21.35    4.9700    29400.8
2024  5 19  1 11  0   0    -1.88     5.03    -0.92   -388.77      2.80     20.71    4.9300    30433.4
2024  5 19  1 12  0   0    -1.93     5.05    -0.87   -391.53     -5.71     19.57    4.8900    31465.9
2024  5 19  1 13  0   0    -2.03     4.96    -0.88   -390.53      1.73     20.61    4.9400    32498.4
2024  5 19  1 14  0   0    -2.06     4.95    -0.89   -388.69      3.41     20.60    5.6200    33530.9
2024  5 19  1 15  0   0    -1.91     4.92    -0.98   -389.66      3.78     20.89    5.9400    34563.4
2024  5 19  1 16  0   0    -1.79     4.96    -1.08   -390.23     -3.94     20.08    5.8400    35596.0
2024  5 19  1 18  0   0    -2.13     4.84    -0.96   -390.40      4.42     20.96    5.9500    37661.0
2024  5 19  1 20  0   0    -2.63     4.86    -1.06   -388.29     -2.56     19.72    5.8500    39726.1
2024  5 19  1 21  0   0    -2.37     5.05    -0.96   -388.35      1.25     20.66    6.0800    40353.3
2024  5 19  1 22  0   0    -2.49     5.00    -0.96   -388.52      2.22     20.64    5.5200    40980.6
2024  5 19  1 23  0   0    -2.27     5.17    -0.49   -388.69      3.18     20.61    5.5900    41607.8
2024  5 19  1 24  0   0    -2.33     5.08    -0.45   -388.18      2.63     20.54    5.4500    42235.1
2024  5 19  1 25  0   0    -2.28     5.18    -0.47   -389.77     -3.90     19.80    5.5300    42862.3
2024  5 19  1 26  0   0    -2.17     5.22    -0.52   -389.22     -1.09     19.78    5.5500    43489.6
2024  5 19  1 27  0   0    -1.94     5.29    -0.76   -389.32      1.36     19.72    5.3200    44116.8
2024  5 19  1 29  0   0    -1.78     5.09    -1.25   -387.19      2.83     20.13    5.8300    44744.1
2024  5 19  1 30  0   0    -1.84     4.83    -1.36   -386.23     -0.35     19.91    5.7100    45371.3
2024  5 19  1 31  0   0    -1.95     5.13    -1.68   -388.56      3.64     23.92    5.9200    46625.9
2024  5 19  1 32  0   0    -1.95     4.98    -1.10   -397.02      0.16     22.90    5.6300    47880.4
2024  5 19  1 34  0   0    -1.84     5.04    -1.36   -392.41     -0.24     21.02    5.6300    48507.6
2024  5 19  1 36  0   0    -2.15     5.10    -1.49   -392.36      0.57     21.06    5.2700    49762.1
2024  5 19  1 37  0   0    -2.23     5.02    -1.44   -388.87      1.28     19.90    5.2600    50389.4
2024  5 19  1 38  0   0    -2.21     4.94    -1.52   -388.46     -2.10     19.38    5.3500    51016.6
