Produced from ace CDAWeb CDFs (nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5 19  0  0  0   0    -2.55     4.77     0.23   -389.68      4.68     20.38       nan    18702.9
2024  5 19  0  1  0   0    -2.37     4.91    -0.27   -392.21     -3.51     19.87       nan    16511.3
2024  5 19  0  2  0   0    -2.76     4.70    -0.29   -387.40     -5.25     19.10       nan    19326.7
2024  5 19  0  3  0   0    -2.90     4.59    -0.49   -386.14      4.03     20.40       nan    19075.6
2024  5 19  0  4  0   0    -2.48     4.80    -0.89   -388.63      3.51     20.66       nan    19323.5
2024  5 19  0  5  0   0    -2.38     4.93    -0.59   -391.12      3.00     20.92       nan    19571.5
2024  5 19  0  6  0   0    -2.51     4.82    -0.33   -390.27     -6.29     19.35       nan    16525.1
2024  5 19  0  7  0   0    -2.40     4.93    -0.01   -391.34      1.93     20.11       nan    18827.7
2024  5 19  0  8  0   0    -2.34     4.93    -0.28   -391.25      4.39     20.23       nan    15782.1
2024  5 19  0  9  0   0    -2.30     4.93    -0.51   -392.37      4.12     20.88       nan    17863.1
2024  5 19  0 10  0   0    -1.63     5.06    -1.06   -393.49      3.85     21.52       nan    19944.1
2024  5 19  0 11  0   0    -1.68     5.06    -0.91   -396.39     -9.41     19.65    5.0268    12915.6
2024  5 19  0 12  0   0    -1.97     5.05    -0.81   -394.72     -2.30     20.49    4.5556    15570.5
2024  5 19  0 13  0   0    -1.63     5.10    -1.09   -395.36      3.42     21.35    4.7908    13590.0
2024  5 19  0 14  0   0    -1.73     5.10    -0.92   -388.77      2.80     20.71    4.7620    19172.5
2024  5 19  0 15  0   0    -1.93     5.05    -0.87   -391.53     -5.71     19.57    4.7331    12801.4
2024  5 19  0 16  0   0    -2.03     4.96    -0.88   -390.53      1.73     20.61    4.5975    16117.0
2024  5 19  0 17  0   0    -2.06     4.95    -0.89   -388.69      3.41     20.60    4.8224    12195.0
2024  5 19  0 18  0   0    -1.91     5.02    -0.98   -389.66      3.78     20.89    4.6295    14915.5
2024  5 19  0 19  0   0    -1.89     4.96    -1.08   -390.23     -3.94     20.08    5.1816    13536.7
2024  5 19  0 20  0   0    -2.09     4.90    -1.13   -387.33      1.85     20.50    4.9272    16017.8
2024  5 19  0 21  0   0    -2.13     4.90    -0.96   -390.40      4.42     20.96    5.0281    13352.0
2024  5 19  0 22  0   0    -2.45     4.82    -0.44   -386.58      4.35     20.70    4.8014    17830.0
2024  5 19  0 23  0   0    -2.77     4.74    -0.07   -388.29     -2.56     19.72    4.6677    19192.5
2024  5 19  0 24  0   0    -2.53     4.86    -0.63   -388.35      1.25     20.66    4.5340    18957.1
2024  5 19  0 25  0   0    -2.52     4.87    -0.64   -388.52      2.22     20.64    4.5754    17652.9
2024  5 19  0 26  0   0    -2.50     4.91    -0.59   -388.69      3.18     20.61    4.6167    16348.7
2024  5 19  0 27  0   0    -2.33     4.93    -0.56   -388.18      2.63     20.54    4.3794    18388.0
2024  5 19  0 28  0   0    -2.33     4.96    -0.42   -389.77     -3.90     19.80    4.4246    16866.7
2024  5 19  0 29  0   0    -2.18     5.03    -0.20   -389.22     -1.09     19.78    4.2931    18594.3
2024  5 19  0 30  0   0    -2.43     4.96    -0.05   -389.32      1.36     19.72    4.4222    17150.8
2024  5 19  0 31  0   0    -2.41     4.91    -0.21   -387.19      2.83     20.13       nan    17536.0
2024  5 19  0 32  0   0    -2.66     4.79    -0.68   -386.23     -0.35     19.91    4.6804    16735.4
2024  5 19  0 33  0   0    -2.78     4.72    -0.57   -386.12     -2.46     19.69    4.5470    18015.4
2024  5 19  0 34  0   0    -2.16     4.39    -2.40   -388.56      3.64     23.92    5.4372    20903.4
2024  5 19  0 35  0   0    -1.52     4.65    -2.52   -393.80      6.19     25.13    4.6814    19635.7
2024  5 19  0 36  0   0    -1.95     4.70    -2.07   -397.02      0.16     22.90    5.1139    14883.2
2024  5 19  0 37  0   0    -2.08     4.86    -1.36   -392.41     -0.24     21.02    4.9921    16999.7
2024  5 19  0 38  0   0    -2.62     4.93    -0.98   -387.81     -0.64     19.15       nan    19116.2
2024  5 19  0 39  0   0    -2.15     5.10    -1.25   -392.36      0.57     21.06    4.7486    14472.8
2024  5 19  0 40  0   0    -2.46     5.02    -0.76   -388.87      1.28     19.90    4.5898    21596.7
2024  5 19  0 41  0   0    -2.78     4.94    -0.60   -388.46     -2.10     19.38       nan    22548.4
2024  5 19  0 42  0   0    -2.87     4.84    -0.82   -388.04     -5.48     18.86    4.2721    23500.2
2024  5 19  0 43  0   0    -2.64     4.98    -0.89   -386.08     -0.33     20.13    4.7262    17634.3
2024  5 19  0 44  0   0    -2.28     5.03    -1.41   -388.45      2.09     20.56    4.6056    14628.1
2024  5 19  0 45  0   0    -2.45     5.09    -0.89   -393.25      0.85     21.20    4.6122    19939.2
2024  5 19  0 46  0   0    -2.54     5.03    -0.93   -389.84     -6.91     19.38    4.6188    15408.5
2024  5 19  0 47  0   0    -2.65     5.03    -0.89   -388.07     -0.41     20.29    4.4945    17521.1
2024  5 19  0 48  0   0    -2.53     5.04    -1.11   -388.28      4.53     20.46    4.4627    18900.0
2024  5 19  0 49  0   0    -2.71     4.94    -0.91   -387.55      2.42     20.42    4.5941    20088.4
2024  5 19  0 50  0   0    -2.48     4.87    -1.13   -389.13     -6.11     19.19    4.7256    19135.7
2024  5 19  0 51  0   0    -2.57     4.86    -0.92   -387.93      0.51     19.66    4.3529    18860.5
2024  5 19  0 52  0   0    -2.52     4.90    -0.73   -388.65      2.10     19.44    4.1762    19672.0
2024  5 19  0 53  0   0    -2.63     4.95    -1.16   -388.08      4.81     20.65    4.4280    18595.6
2024  5 19  0 54  0   0    -2.81     4.79    -1.56   -387.02     -3.66     20.41    4.6631    17313.3
2024  5 19  0 55  0   0    -2.31     5.21    -0.48   -390.74     -2.05     18.98    4.1234    23251.0
2024  5 19  0 56  0   0    -2.79     4.81    -1.07   -389.45      3.16     19.79    4.6038    17603.1
2024  5 19  0 57  0   0    -2.83     4.56    -1.74   -389.19      4.54     21.01    4.7922    18653.5
2024  5 19  0 58  0   0    -2.56     4.91    -1.13   -388.92      5.91     22.23    4.9805    19704.0
2024  5 19  0 59  0   0    -1.91     5.34    -0.42   -392.29     -5.85     18.77    4.8130    18750.3
2024  5 19  1  0  0   0    -1.97     5.33    -0.66   -395.21     -3.31     18.83       nan    22815.4
2024  5 19  1  1  0   0    -2.08     5.09    -1.11   -392.40      0.09     19.44       nan    18836.4
2024  5 19  1  2  0   0    -2.28     5.08    -1.11   -391.65      2.17     20.19    4.3105    20130.5
2024  5 19  1  3  0   0    -2.53     5.03    -0.02   -390.07     -4.61     19.24    4.1642    16841.0
2024  5 19  1  4  0   0    -2.43     5.04    -0.11   -390.87     -0.94     18.47    4.2613    20421.0
2024  5 19  1  5  0   0    -2.50     4.84    -0.84   -390.69      1.42     19.19       nan    24001.0
2024  5 19  1  6  0   0    -2.64     4.64    -1.13   -390.28     -0.20     20.34    4.4555    17893.0
2024  5 19  1  7  0   0    -3.18     4.28    -1.47   -385.43     -1.77     19.56    4.0153    18757.6
2024  5 19  1  8  0   0    -3.21     3.88    -2.25   -383.94      0.76     20.52    4.7933    15797.7
2024  5 19  1  9  0   0    -3.22     3.12    -3.05   -384.33      5.25     21.72    4.8717    15429.4
2024  5 19  1 10  0   0    -2.87     3.76    -2.17   -386.58      1.97     20.73    4.8087    17020.5
2024  5 19  1 11  0   0    -2.61     4.79    -1.08       nan       nan       nan       nan        nan
2024  5 19  1 12  0   0    -2.51     5.07    -0.76   -391.09     -4.59     18.74       nan    20202.6
2024  5 19  1 13  0   0    -2.73     4.38    -1.80   -388.11     -0.83     20.28       nan    19090.9
2024  5 19  1 14  0   0    -2.93     3.75    -2.77   -385.14      2.92     21.83    4.5568    17979.2
2024  5 19  1 15  0   0    -3.29     4.22    -1.56   -387.42     10.60     25.28    4.9726    16456.0
2024  5 19  1 16  0   0    -3.47     4.19    -1.00   -383.41      1.92     20.11    4.7191    22641.8
2024  5 19  1 17  0   0    -3.09     4.29    -1.40   -384.12     -2.58     19.47       nan    19642.4
2024  5 19  1 18  0   0    -2.81     3.78    -2.86   -385.16      0.41     19.54    4.2121    17660.3
2024  5 19  1 19  0   0    -2.90     3.64    -2.95   -384.72     11.79     23.50    4.9855    19550.4
2024  5 19  1 20  0   0    -3.17     3.45    -2.88   -386.80      9.67     24.81    4.9808    18932.1
2024  5 19  1 21  0   0    -2.72     3.88    -2.93   -387.46     -2.20     22.71    4.9761    16129.9
2024  5 19  1 22  0   0    -2.94     3.99    -2.56   -383.25      3.35     21.30    4.9012    14898.1
2024  5 19  1 23  0   0    -2.74     4.26    -2.49   -384.34      6.90     21.86    4.6976    16076.8
2024  5 19  1 24  0   0    -2.58     4.37    -2.46   -387.39      2.37     21.35    4.8819    18690.2
2024  5 19  1 25  0   0    -2.76     4.06    -2.65   -387.34     -3.27     21.49    5.0663    15444.5
2024  5 19  1 26  0   0    -3.00     3.81    -2.72   -384.71      4.10     21.67    5.1299    17913.9
2024  5 19  1 27  0   0    -3.44     4.13    -1.33   -383.42      6.80     19.77    4.1005    22051.0
2024  5 19  1 28  0   0    -3.63     4.00    -1.38   -379.76      3.98     19.95    4.1124    16158.7
2024  5 19  1 29  0   0    -3.46     3.82    -2.23   -380.92      2.23     20.34       nan    16080.0
2024  5 19  1 30  0   0    -3.87     3.49    -1.76   -382.07      0.47     20.74    4.1361    16001.2
2024  5 19  1 31  0   0    -4.47     3.11    -0.41   -378.48      5.24     20.30    4.6866    12644.4
2024  5 19  1 32  0   0    -3.83     3.62    -1.65   -379.96      5.69     20.10    4.6883    15726.3
2024  5 19  1 33  0   0    -2.93     4.16    -2.16   -381.44      6.15     19.91    4.6900        nan
2024  5 19  1 34  0   0    -3.51     3.97    -1.70   -383.93     -1.66     19.67    4.6885    21890.2
2024  5 19  1 35  0   0    -3.55     3.89    -1.80   -382.02      5.57     21.36    5.0784    16683.3
2024  5 19  1 36  0   0    -2.99     3.86    -2.61   -384.68      7.26     22.84    5.2352    16896.4
2024  5 19  1 37  0   0    -3.56     3.02    -3.13   -381.93      9.62     22.83    4.9841    18088.9
2024  5 19  1 38  0   0    -3.84     3.25    -2.53   -379.60      8.22     22.70    5.1588    18949.3
2024  5 19  1 39  0   0    -3.85     3.12    -2.65   -377.15     11.09     21.31    5.4264    16053.0
