Produced from ace CDAWeb CDFs (nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5 17  0  0  0   0     3.96     6.81     2.02   -373.87     38.81      6.34       nan    35225.9
2024  5 17  0  1  0   0     4.03     6.72     2.21   -375.74     39.13      6.12       nan    32059.6
2024  5 17  0  2  0   0     4.05     6.71     2.18   -371.39     33.17      8.15       nan    38073.9
2024  5 17  0  3  0   0     4.01     6.83     2.06   -372.92     38.54      5.87       nan    31896.7
2024  5 17  0  4  0   0     3.86     6.94     2.24   -374.27     41.00      5.02       nan    34917.6
2024  5 17  0  5  0   0     3.70     7.05     2.39   -374.35     36.77      7.32       nan    31619.7
2024  5 17  0  6  0   0     3.71     7.11     2.35   -374.41     30.15     10.49       nan    31496.9
2024  5 17  0  7  0   0     3.83     7.16     2.47   -374.67     31.51     10.21       nan    30324.4
2024  5 17  0  8  0   0     3.44     7.14     2.87   -374.93     32.87      9.93       nan    29151.8
2024  5 17  0  9  0   0     3.43     7.15     2.73   -374.82     31.97      9.94       nan    30253.4
2024  5 17  0 10  0   0     3.58     6.97     2.83   -374.71     31.08      9.94       nan    31354.9
2024  5 17  0 11  0   0     3.34     6.83     2.80   -373.12     29.84     11.13       nan    32009.0
2024  5 17  0 12  0   0     3.14     6.75     2.81   -369.98     38.13      8.32       nan    34765.9
2024  5 17  0 13  0   0     3.10     6.86     2.58   -370.55     38.05      7.37       nan    36129.8
2024  5 17  0 14  0   0     3.06     6.76     2.84   -369.98     39.93      6.63       nan    35855.8
2024  5 17  0 15  0   0     2.89     6.84     2.97   -372.06     29.77     11.04       nan    35225.4
2024  5 17  0 16  0   0     2.65     6.75     3.31   -371.41     29.53     10.82       nan    47360.1
2024  5 17  0 17  0   0     2.16     6.53     4.22   -369.95     34.97      8.23       nan    40347.2
2024  5 17  0 18  0   0     2.06     6.60     4.28   -374.06     33.57     11.80       nan    43221.2
2024  5 17  0 19  0   0     2.37     6.58     4.07   -371.97     29.35     12.19       nan    45015.6
2024  5 17  0 20  0   0     2.70     6.33     4.15   -368.51     34.30     10.69       nan    49058.6
2024  5 17  0 21  0   0     3.29     6.73     2.89   -370.70     32.47      8.99       nan    35160.2
2024  5 17  0 22  0   0     3.68     6.28     2.78   -366.80     39.87      7.17       nan    40578.9
2024  5 17  0 23  0   0     4.12     5.68     3.53   -368.90     31.23     10.98       nan    38546.7
